event_name,year,brand_ad_name,emotion,lexicon_count,lexicon_share_within_ad,ml_count,ml_share_within_ad,roi,ad_spend,notes
super-bowl,2023,AIR,Anger,1,0.007194244604316547,1,0.007194244604316547,,,
super-bowl,2023,AIR,Excitement,125,0.8992805755395683,125,0.8992805755395683,,,
super-bowl,2023,AIR,Joy,10,0.07194244604316546,10,0.07194244604316546,,,
super-bowl,2023,AIR,Pride,2,0.014388489208633094,2,0.014388489208633094,,,
super-bowl,2023,AIR,Surprise,1,0.007194244604316547,1,0.007194244604316547,,,
super-bowl,2023,Achtung Baby Live at The Sphere | U2,Anger,120,0.146163215590743,120,0.146163215590743,,,
super-bowl,2023,Achtung Baby Live at The Sphere | U2,Disappointment,320,0.38976857490864797,320,0.38976857490864797,,,
super-bowl,2023,Achtung Baby Live at The Sphere | U2,Disgust,15,0.018270401948842874,15,0.018270401948842874,,,
super-bowl,2023,Achtung Baby Live at The Sphere | U2,Excitement,43,0.05237515225334957,43,0.05237515225334957,,,
super-bowl,2023,Achtung Baby Live at The Sphere | U2,Joy,185,0.22533495736906212,185,0.22533495736906212,,,
super-bowl,2023,Achtung Baby Live at The Sphere | U2,Pride,9,0.010962241169305725,9,0.010962241169305725,,,
super-bowl,2023,Achtung Baby Live at The Sphere | U2,Surprise,129,0.15712545676004872,129,0.15712545676004872,,,
super-bowl,2023,Amazon Saving Sawyer,Anger,169,0.04124969489870637,169,0.04124969489870637,,,
super-bowl,2023,Amazon Saving Sawyer,Disappointment,150,0.0366121552355382,150,0.0366121552355382,,,
super-bowl,2023,Amazon Saving Sawyer,Disgust,45,0.010983646570661459,45,0.010983646570661459,,,
super-bowl,2023,Amazon Saving Sawyer,Excitement,129,0.03148645350256285,129,0.03148645350256285,,,
super-bowl,2023,Amazon Saving Sawyer,Joy,2714,0.6624359287283378,2714,0.6624359287283378,,,
super-bowl,2023,Amazon Saving Sawyer,Pride,389,0.09494752257749572,389,0.09494752257749572,,,
super-bowl,2023,Amazon Saving Sawyer,Surprise,501,0.12228459848669758,501,0.12228459848669758,,,
super-bowl,2023,Amazon Studios Trailer: AIR: Courting A Legend,Anger,15,0.03694581280788178,15,0.03694581280788178,,,
super-bowl,2023,Amazon Studios Trailer: AIR: Courting A Legend,Disappointment,25,0.06157635467980296,25,0.06157635467980296,,,
super-bowl,2023,Amazon Studios Trailer: AIR: Courting A Legend,Disgust,14,0.034482758620689655,14,0.034482758620689655,,,
super-bowl,2023,Amazon Studios Trailer: AIR: Courting A Legend,Excitement,30,0.07389162561576355,30,0.07389162561576355,,,
super-bowl,2023,Amazon Studios Trailer: AIR: Courting A Legend,Joy,268,0.6600985221674877,268,0.6600985221674877,,,
super-bowl,2023,Amazon Studios Trailer: AIR: Courting A Legend,Pride,10,0.024630541871921183,10,0.024630541871921183,,,
super-bowl,2023,Amazon Studios Trailer: AIR: Courting A Legend,Surprise,44,0.10837438423645321,44,0.10837438423645321,,,
super-bowl,2023,Animal control,Excitement,2,0.18181818181818182,2,0.18181818181818182,,,
super-bowl,2023,Animal control,Joy,8,0.7272727272727273,8,0.7272727272727273,,,
super-bowl,2023,Animal control,Surprise,1,0.09090909090909091,1,0.09090909090909091,,,
super-bowl,2023,Apple,Anger,15,0.017421602787456445,15,0.017421602787456445,,,
