Brand,Celebrity,,,,Brand,Celebrities
Amazon Ring,Chris Hemsworth. Elsa Pataky,,,,,
Base44,None,,,,,
Blue Square Alliance Against Hate,None,,,,,
Boehringer Ingelheim,"Sofia Vergara, Octavia Spencer",,,,,
Bosch,Guy Fieri,,,,,
Bud Light,"Post Malone, Shane Gillis And Peyton Manning",,,,,
Budweiser,None,,,,,
Cadillac Formula 1,None,,,,,
Dove,Kylie Kelce,,,,,
DraftKings,"Colin Josh, Michael Che",,,,,
Dunkinâ€™,"Ben Affleck, Jennifer Aniston, David Schwimmer, Tom Brady, Ted Danson, Matt LeBlanc, Jason Alexander, Alfonso Ribeiro, Jaleel White, Jasmine Guy",,,,,
e.l.f. Cosmetics,"Melissa Mccarthy, Itatí Cantoral, Nicholas Gonzalez",,,,,
Fanatics Sportsbook,Kendall Jenner,,,,,
FanDuel,Rob Gronkowski,,,,,
Google,None,,,,,
GrubHub,George Clooney,,,,,
He Gets Us,None,,,,,
Hellmannâ€™s,"Andy Samberg, Keith Lee, Elle Fanning",,,,,
Hims & Hers,None,,,,,
Homes.com,"Jeff Goldblum, Heidi Gardner",,,,,
Instacart,"Benson Boone, Ben Stiller",,,,,
Kelloggâ€™s,William Shatner,,,,,
Kinder Bueno,"William Fichtner, Paige DeSorbo",,,,,
Layâ€™s,None,,,,,
Leviâ€™s,"Rosé (BLACKPINK), Doechii, Questlove, Stefanie Giesinger",,,,,
Liquid Death,None,,,,,
Liquid I.V.,EJAE,,,,,
MAHA,Mike Tyson,,,,,
Michelob ULTRA,"Kurt Russell, Lewis Pullman, Chloe Kim, T.J. Oshie",,,,,
NERDS,Andy Cohen,,,,,
NFL,"Christian McCaffrey, Michael Strahan, Cameron Heyward",,,,,
Novartis,None,,,,,
Novo Nordisk,"Keenan Thompson, DJ Khalid, Ana Gasteyer, Danielle Brooks, Danny Trejo, John C. Reilly",,,,,
Oakley Meta,"Marshawn Lynch, Spike Lee, Sky Brown, Kate Courtney",,,,,
Oikos,"Kathryn Hahn, Derrick Henry",,,,,
OpenAI,None,,,,,
Pepsi Zero Sugar,None,,,,,
PepsiCo,None,,,,,
Poppi,"Charli XCX, Rachel Sennott",,,,,
Pringles,Sabrina Carpenter,,,,,
Rippling,Tim Robinson,,,,,
RITZ,"John Hamm, Scarlett Johanson, Bowen Yang",,,,,
Ro,Serena Williams,,,,,
Rocket Mortgage & Redfin,Lady Gaga,,,,,
Salesforce,MrBeast,,,,,
Skechers,Sofía Vergara,,,,,
Spectrum,None,,,,,
Squarespace,Emma Stone,,,,,
State Farm,"Hailee Steinfeld, Danny McBride, Keegan-Michael Key, Katseye, Bon Jovi",,,,,
SVEDKA Vodka,Victoria Justice,,,,,
T-Mobile,"BackStreet Boys, MGK",,,,,
Toyota,"Bubba Wallace, Puka Nacua, Oksana Masters",,,,,
Tree Hut,None,,,,,
TurboTax,Adrian Brody,,,,,
Uber Eats,"Matthew McConaughey, Bradley Cooper,  Parker Posey",,,,,
Volkswagen,None,,,,,
WeatherTech,None,,,,,
Wix.com,None,,,,,
Xfinity,"Jeff Goldblum, Laura Dern, Sam Neill",,,,,
