parent_company,tweet_count,avg_confidence,anger_count,anger_rate,anticipation_count,anticipation_rate,disgust_count,disgust_rate,fear_count,fear_rate,joy_count,joy_rate,love_count,love_rate,optimism_count,optimism_rate,sadness_count,sadness_rate,surprise_count,surprise_rate
nfl,62035,0.792026,4133,0.066624,6908,0.111356,1217,0.019618,1014,0.016346,46325,0.746756,120,0.001934,577,0.009301,1311,0.021133,430,0.006932
unmatched,21035,0.69058,3088,0.146803,2266,0.107725,2248,0.10687,1418,0.067411,10640,0.505824,94,0.004469,210,0.009983,887,0.042168,184,0.008747
haveingablast,523,0.97582,5,0.00956,2,0.003824,0,0.0,0,0.0,513,0.98088,0,0.0,0,0.0,3,0.005736,0,0.0
wicked,326,0.715995,2,0.006135,265,0.812883,1,0.003067,0,0.0,45,0.138037,0,0.0,0,0.0,13,0.039877,0,0.0
wew,282,0.613137,282,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
marvel,256,0.668929,0,0.0,42,0.164062,0,0.0,0,0.0,127,0.496094,0,0.0,0,0.0,87,0.339844,0,0.0
lasvegas,72,0.514359,0,0.0,72,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
taylorswift,70,0.856743,4,0.057143,8,0.114286,1,0.014286,0,0.0,53,0.757143,0,0.0,0,0.0,1,0.014286,3,0.042857
num1,47,0.920014,0,0.0,0,0.0,0,0.0,0,0.0,47,1.0,0,0.0,0,0.0,0,0.0,0,0.0
usher,41,0.703584,8,0.195122,1,0.02439,1,0.02439,0,0.0,30,0.731707,0,0.0,1,0.02439,0,0.0,0,0.0
sweepstakes,37,0.916122,0,0.0,0,0.0,0,0.0,0,0.0,34,0.918919,0,0.0,3,0.081081,0,0.0,0,0.0
onpoli,36,0.587505,36,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
sup,32,0.864384,0,0.0,2,0.0625,0,0.0,0,0.0,26,0.8125,0,0.0,0,0.0,4,0.125,0,0.0
getwild,30,0.950728,0,0.0,0,0.0,0,0.0,0,0.0,30,1.0,0,0.0,0,0.0,0,0.0,0,0.0
magic,28,0.952069,0,0.0,0,0.0,0,0.0,0,0.0,28,1.0,0,0.0,0,0.0,0,0.0,0,0.0
breakingnews,27,0.59944,1,0.037037,25,0.925926,0,0.0,0,0.0,1,0.037037,0,0.0,0,0.0,0,0.0,0,0.0
warnerbros,27,0.609084,0,0.0,0,0.0,0,0.0,0,0.0,2,0.074074,0,0.0,25,0.925926,0,0.0,0,0.0
unilever,25,0.677575,1,0.04,0,0.0,0,0.0,0,0.0,24,0.96,0,0.0,0,0.0,0,0.0,0,0.0
svetan,19,0.991532,0,0.0,0,0.0,0,0.0,0,0.0,19,1.0,0,0.0,0,0.0,0,0.0,0,0.0
beyonce,18,0.765404,1,0.055556,1,0.055556,0,0.0,0,0.0,16,0.888889,0,0.0,0,0.0,0,0.0,0,0.0
paramount,17,0.821477,3,0.176471,0,0.0,0,0.0,0,0.0,13,0.764706,0,0.0,0,0.0,1,0.058824,0,0.0
uber,15,0.962468,0,0.0,0,0.0,0,0.0,0,0.0,15,1.0,0,0.0,0,0.0,0,0.0,0,0.0
breaking,14,0.65329,12,0.857143,0,0.0,0,0.0,0,0.0,2,0.142857,0,0.0,0,0.0,0,0.0,0,0.0
sports,14,0.946326,0,0.0,0,0.0,0,0.0,0,0.0,14,1.0,0,0.0,0,0.0,0,0.0,0,0.0
4,13,0.292932,0,0.0,0,0.0,0,0.0,0,0.0,13,1.0,0,0.0,0,0.0,0,0.0,0,0.0
dinamitadinero,13,0.921499,0,0.0,2,0.153846,0,0.0,0,0.0,10,0.769231,0,0.0,0,0.0,1,0.076923,0,0.0
football,12,0.922802,1,0.083333,0,0.0,0,0.0,0,0.0,11,0.916667,0,0.0,0,0.0,0,0.0,0,0.0
gaza,12,0.564158,3,0.25,0,0.0,1,0.083333,3,0.25,0,0.0,0,0.0,0,0.0,5,0.416667,0,0.0
hadith,12,0.793111,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,1.0,0,0.0,0,0.0
everydayhero,11,0.875935,0,0.0,0,0.0,0,0.0,0,0.0,11,1.0,0,0.0,0,0.0,0,0.0,0,0.0
yg entertainment,11,0.523292,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,1.0,0,0.0,0,0.0
su,10,0.802139,0,0.0,1,0.1,0,0.0,0,0.0,9,0.9,0,0.0,0,0.0,0,0.0,0,0.0
chilltrain,9,0.495174,0,0.0,0,0.0,9,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
hegetsus,9,0.672365,9,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
mayocat,9,0.545436,0,0.0,1,0.111111,8,0.888889,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
dunkin,8,0.947347,0,0.0,0,0.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0
princeharry,8,0.988866,0,0.0,0,0.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0
prizepick,8,0.792596,0,0.0,0,0.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0
rafah,8,0.677475,0,0.0,5,0.625,1,0.125,2,0.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
rfkjr,8,0.920126,0,0.0,0,0.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0
temu,8,0.555157,3,0.375,1,0.125,0,0.0,0,0.0,3,0.375,0,0.0,0,0.0,0,0.0,1,0.125
freepalestine,7,0.726839,4,0.571429,0,0.0,0,0.0,1,0.142857,0,0.0,0,0.0,2,0.285714,0,0.0,0,0.0
gbo,7,0.981985,0,0.0,0,0.0,0,0.0,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0
pizzagate,7,0.490272,0,0.0,0,0.0,0,0.0,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0
shiba_inu,7,0.984486,0,0.0,0,0.0,0,0.0,0,0.0,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0
arianagrande,6,0.892797,0,0.0,0,0.0,0,0.0,0,0.0,6,1.0,0,0.0,0,0.0,0,0.0,0,0.0
beckytheheartof,6,0.715691,0,0.0,6,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
