created_at,text,conversation_id,reply_settings,edit_history_tweet_ids,lang,referenced_tweets,possibly_sensitive,id,author_id,entities.annotations,entities.mentions,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,edit_controls.edits_remaining,edit_controls.is_edit_eligible,edit_controls.editable_until,entities.urls,attachments.media_keys,entities.hashtags,in_reply_to_user_id,attachments.media_source_tweet_id,entities.cashtags,location,username,name,brand,geo.place_id,attachments.poll_ids,withheld.country_codes,geo.coordinates.type,geo.coordinates.coordinates,is_about_brand,confidence,rationale
2025-02-10T03:16:45.000Z,"RT @billboard: Ben Affleck Brings Back the DunKings With a Lineup That Includes an NKOTB Member for Dunkin’ Super Bowl Ad
https://t.co/N2d8…",1888789174926319942,everyone,['1888789174926319942'],en,"[{'type': 'retweeted', 'id': '1888737296708472976'}]",FALSE,1888789174926319942,30152016,"[{'start': 15, 'end': 25, 'probability': 0.9592, 'type': 'Person', 'normalized_text': 'Ben Affleck'}, {'start': 83, 'end': 87, 'probability': 0.5944, 'type': 'Organization', 'normalized_text': 'NKOTB'}, {'start': 100, 'end': 105, 'probability': 0.3677, 'type': 'Other', 'normalized_text': 'Dunkin'}, {'start': 108, 'end': 117, 'probability': 0.699, 'type': 'Other', 'normalized_text': 'Super Bowl'}]","[{'start': 3, 'end': 13, 'username': 'billboard', 'id': '9695312'}]",44,0,0,0,0,0,5,FALSE,2025-02-10T04:16:45.000Z,,,,,,,Chi-town,sweetsmckenna,lisa stites,Dunkin',,,,,,True,1.0,Retweet explicitly mentions 'Dunkin’ Super Bowl Ad' and DunKings.
2025-02-10T03:16:40.000Z,"RT @outbreakupdates: About two million baked goods, including some doughnuts and coffee rolls sold at Dunkin’, are recalled over concerns o…",1888789153451491386,everyone,['1888789153451491386'],en,"[{'type': 'retweeted', 'id': '1888693279698616828'}]",FALSE,1888789153451491386,3184771733,"[{'start': 102, 'end': 107, 'probability': 0.6806, 'type': 'Place', 'normalized_text': 'Dunkin'}]","[{'start': 3, 'end': 19, 'username': 'outbreakupdates', 'id': '1594033745849450497'}]",1247,0,0,0,0,0,5,FALSE,2025-02-10T04:16:40.000Z,,,,,,,,Superwhitecat15,whitecat2015 ⁷ 🧋☕🌟,Dunkin',,,,,,True,1.0,Retweet about recall of baked goods sold at Dunkin’.
2025-02-10T03:16:27.000Z,"RT @DonnieWahlberg: So fun to be a part of this awesomeness! Enjoy the show!

More #Dunkin &amp; #DunKing fun coming soon — with yours truly.…",1888789098732663064,everyone,['1888789098732663064'],en,"[{'type': 'retweeted', 'id': '1888770753404764651'}]",FALSE,1888789098732663064,30152016,"[{'start': 84, 'end': 89, 'probability': 0.5547, 'type': 'Other', 'normalized_text': 'Dunkin'}, {'start': 98, 'end': 104, 'probability': 0.7333, 'type': 'Other', 'normalized_text': 'DunKing'}]","[{'start': 3, 'end': 18, 'username': 'DonnieWahlberg', 'id': '24776235'}]",236,0,0,0,0,0,5,FALSE,2025-02-10T04:16:27.000Z,,,"[{'start': 83, 'end': 90, 'tag': 'Dunkin'}, {'start': 97, 'end': 105, 'tag': 'DunKing'}]",,,,Chi-town,sweetsmckenna,lisa stites,Dunkin',,,,,,True,1.0,Retweet mentions #Dunkin and #DunKing.
2025-02-10T03:16:04.000Z,@FoxNews Dunkin needs to drop him 🤣,1888776178086867125,everyone,['1888788999491162513'],en,"[{'type': 'replied_to', 'id': '1888776178086867125'}]",FALSE,1888788999491162513,1464228664514650130,"[{'start': 9, 'end': 14, 'probability': 0.5332, 'type': 'Person', 'normalized_text': 'Dunkin'}]","[{'start': 0, 'end': 8, 'username': 'FoxNews', 'id': '1367531'}]",0,0,13,0,0,211,5,FALSE,2025-02-10T04:16:04.000Z,,,,1367531,,,,Guavadelight,Hope,Dunkin',,,,,,True,0.95,Directly mentions 'Dunkin needs to drop him'.
2025-02-10T03:16:03.000Z,"dunkin
~ promo spesial sampai 28 februari https://t.co/Qu7QgofkfR",1888788995989254257,everyone,['1888788995989254257'],in,,FALSE,1888788995989254257,1214520958469296129,,,0,0,0,0,0,60,5,TRUE,2025-02-10T04:16:03.000Z,"[{'start': 42, 'end': 65, 'url': 'https://t.co/Qu7QgofkfR', 'expanded_url': 'https://x.com/diskon_suka/status/1888788995989254257/photo/1', 'display_url': 'pic.x.com/Qu7QgofkfR', 'media_key': '3_1888788993921449984'}]",['3_1888788993921449984'],,,,,,diskon_suka,Suka Diskon,Dunkin',,,,,,True,0.9,"Mentions 'dunkin' with promo, contextually about the brand."
2025-02-10T03:15:53.000Z,"RT @OldSchoolBoston: ""Old School"" Dunkin Donuts box. @dunkindonuts https://t.co/HdsE8Qn1pB",1888788954499170315,everyone,['1888788954499170315'],en,"[{'type': 'retweeted', 'id': '1888622746956947937'}]",FALSE,1888788954499170315,21243279,"[{'start': 26, 'end': 31, 'probability': 0.4082, 'type': 'Other', 'normalized_text': 'School'}, {'start': 34, 'end': 46, 'probability': 0.712, 'type': 'Organization', 'normalized_text': 'Dunkin Donuts'}]","[{'start': 3, 'end': 19, 'username': 'OldSchoolBoston', 'id': '1516409251'}, {'start': 53, 'end': 66, 'username': 'dunkindonuts', 'id': '8771022'}]",24,0,0,0,0,0,5,FALSE,2025-02-10T04:15:53.000Z,"[{'start': 67, 'end': 90, 'url': 'https://t.co/HdsE8Qn1pB', 'expanded_url': 'https://x.com/OldSchoolBoston/status/1888622746956947937/photo/1', 'display_url': 'pic.x.com/HdsE8Qn1pB', 'media_key': '3_1888622744499019776'}]",['3_1888622744499019776'],,,['1888622746956947937'],,Left at Albuquerque,theoneluckycat,Cat,Dunkin',,,,,,True,1.0,Retweet about 'Dunkin Donuts box' and tags @dunkindonuts.
2025-02-10T03:15:38.000Z,"RT @DonnieWahlberg: So fun to be a part of this awesomeness! Enjoy the show!

More #Dunkin &amp; #DunKing fun coming soon — with yours truly.…",1888788892565795209,everyone,['1888788892565795209'],en,"[{'type': 'retweeted', 'id': '1888770753404764651'}]",FALSE,1888788892565795209,21705032,"[{'start': 84, 'end': 89, 'probability': 0.5547, 'type': 'Other', 'normalized_text': 'Dunkin'}, {'start': 98, 'end': 104, 'probability': 0.7333, 'type': 'Other', 'normalized_text': 'DunKing'}]","[{'start': 3, 'end': 18, 'username': 'DonnieWahlberg', 'id': '24776235'}]",236,0,0,0,0,0,5,FALSE,2025-02-10T04:15:38.000Z,,,"[{'start': 83, 'end': 90, 'tag': 'Dunkin'}, {'start': 97, 'end': 105, 'tag': 'DunKing'}]",,,,"Sharon, MA",HannaSwit,Hanna Switlekowski,Dunkin',,,,,,True,1.0,Retweet mentions #Dunkin and #DunKing.
2025-02-10T03:15:26.000Z,"RT @outbreakupdates: About two million baked goods, including some doughnuts and coffee rolls sold at Dunkin’, are recalled over concerns o…",1888788840829366535,everyone,['1888788840829366535'],en,"[{'type': 'retweeted', 'id': '1888693279698616828'}]",FALSE,1888788840829366535,405701793,,"[{'start': 3, 'end': 19, 'username': 'outbreakupdates', 'id': '1594033745849450497'}]",1247,0,0,0,0,0,5,FALSE,2025-02-10T04:15:26.000Z,,,,,,,Stolen Chinook Land,lillilsebastian,🇵🇸Cops and Klan Go Hand in Hand🇵🇸,Dunkin',,,,,,True,1.0,Retweet about Dunkin’ product recall.
2025-02-10T03:15:23.000Z,RT @dunkindonuts: You asked for more… so we delivered a full film. “DunKings 2: The Movie” is here 👏👏 https://t.co/fTOFVqJQi9,1888788828338762048,everyone,['1888788828338762048'],en,"[{'type': 'retweeted', 'id': '1888738294650769881'}]",FALSE,1888788828338762048,223034520,,"[{'start': 3, 'end': 16, 'username': 'dunkindonuts', 'id': '8771022'}]",851,0,0,0,0,0,5,FALSE,2025-02-10T04:15:23.000Z,"[{'start': 102, 'end': 125, 'url': 'https://t.co/fTOFVqJQi9', 'expanded_url': 'https://x.com/dunkindonuts/status/1888738294650769881/video/1', 'display_url': 'pic.x.com/fTOFVqJQi9', 'media_key': '13_1888737476665065472'}]",['13_1888737476665065472'],,,['1888738294650769881'],,"Sherwood Park, AB",BrongleJabronze,Brian Gamble,Dunkin',,,,,,True,1.0,Retweet from @dunkindonuts about DunKings movie.
2025-02-10T03:15:21.000Z,"@SteveDeaceShow @Tubi Oddly enough, there was a lot of competition for *worst* this year.

The Dunkin' Donuts commercial was abysmal",1888772701990408255,everyone,['1888788821170434327'],en,"[{'type': 'replied_to', 'id': '1888772701990408255'}]",FALSE,1888788821170434327,1249135147221303296,"[{'start': 95, 'end': 108, 'probability': 0.5828, 'type': 'Organization', 'normalized_text': ""Dunkin' Donuts""}]","[{'start': 0, 'end': 15, 'username': 'SteveDeaceShow', 'id': '177564016'}, {'start': 16, 'end': 21, 'username': 'Tubi', 'id': '2363630702'}]",0,0,0,0,0,75,5,FALSE,2025-02-10T04:15:21.000Z,,,,177564016,,,Behind Enemy (DeepState) Lines,co_hurricane,🇺🇸😃CO Hurricane - #TeamReality #RationalGround,Dunkin',,,,,,True,1.0,Mentions 'Dunkin' Donuts commercial'.
